,week_start_date,reanalysis_specific_humidity_g_per_kg,reanalysis_dew_point_temp_k,station_avg_temp_c,station_min_temp_c,total_cases
1995-11-13/1995-11-19,1995-11-19,16.77,295.37,27.1571428571,22.8,36.0
1995-11-20/1995-11-26,1995-11-26,16.5414285714,295.14,27.3142857143,22.8,19.0
1995-11-27/1995-12-03,1995-12-03,17.2571428571,295.837142857,27.2,22.8,34.0
1995-12-04/1995-12-10,1995-12-10,16.0657142857,294.687142857,27.0142857143,22.2,23.0
1995-12-11/1995-12-17,1995-12-17,16.1057142857,294.731428571,26.6142857143,22.2,17.0
1995-12-18/1995-12-24,1995-12-24,15.3714285714,293.971428571,25.7142857143,22.2,17.0
1995-12-25/1995-12-31,1995-12-24,15.3714285714,293.971428571,25.7142857143,22.2,17.0
1996-01-01/1996-01-07,1996-01-01,15.8885714286,294.54,25.1857142857,21.7,23.0
1996-01-08/1996-01-14,1996-01-08,16.0157142857,294.661428571,26.2571428571,21.7,14.0
1996-01-15/1996-01-21,1996-01-15,15.9171428571,294.551428571,25.9714285714,21.7,20.0
1996-01-22/1996-01-28,1996-01-22,15.2085714286,293.802857143,25.5857142857,22.2,13.0
1996-01-29/1996-02-04,1996-01-29,13.65,292.04,24.7857142857,20.0,23.0
1996-02-05/1996-02-11,1996-02-05,14.0585714286,292.581428571,25.1571428571,21.1,20.0
1996-02-12/1996-02-18,1996-02-12,15.2385714286,293.85,25.3142857143,21.1,16.0
1996-02-19/1996-02-25,1996-02-19,15.1257142857,293.698571429,25.9714285714,21.1,16.0
1996-02-26/1996-03-03,1996-02-26,15.1285714286,293.731428571,25.5571428571,21.1,23.0
1996-03-04/1996-03-10,1996-03-04,13.6957142857,292.128571429,25.5714285714,20.6,14.0
1996-03-11/1996-03-17,1996-03-11,14.9428571429,293.561428571,26.2428571429,21.7,15.0
1996-03-18/1996-03-24,1996-03-18,15.2357142857,293.834285714,26.2,22.2,4.0
1996-03-25/1996-03-31,1996-03-25,14.5285714286,293.084285714,26.4,20.6,5.0
1996-04-01/1996-04-07,1996-04-01,14.7271428571,293.321428571,25.9285714286,21.7,5.0
1996-04-08/1996-04-14,1996-04-08,15.7514285714,294.365714286,26.2285714286,21.7,11.0
1996-04-15/1996-04-21,1996-04-15,15.1857142857,293.8,26.1285714286,21.1,11.0
1996-04-22/1996-04-28,1996-04-22,14.7057142857,293.282857143,26.1285714286,22.2,7.0
1996-04-29/1996-05-05,1996-04-29,14.9385714286,293.538571429,26.0142857143,22.2,4.0
1996-05-06/1996-05-12,1996-05-06,14.3614285714,292.915714286,25.4428571429,21.7,6.0
1996-05-13/1996-05-19,1996-05-13,15.7971428571,294.451428571,25.8428571429,22.2,5.0
1996-05-20/1996-05-26,1996-05-20,16.8571428571,295.467142857,26.7285714286,22.8,2.0
1996-05-27/1996-06-02,1996-05-27,17.66,296.237142857,28.1142857143,23.3,4.0
1996-06-03/1996-06-09,1996-06-03,17.3942857143,296.005714286,27.8142857143,23.9,2.0
1996-06-10/1996-06-16,1996-06-10,16.8,295.438571429,26.9428571429,23.3,4.0
1996-06-17/1996-06-23,1996-06-17,16.81,295.435714286,26.4428571429,22.8,6.0
1996-06-24/1996-06-30,1996-06-24,17.4685714286,296.044285714,27.6857142857,23.3,6.0
1996-07-01/1996-07-07,1996-07-01,17.2114285714,295.834285714,27.9428571429,24.4,4.0
1996-07-08/1996-07-14,1996-07-08,17.7642857143,296.341428571,28.0142857143,23.3,6.0
1996-07-15/1996-07-21,1996-07-15,17.5385714286,296.124285714,27.2714285714,23.9,11.0
1996-07-22/1996-07-28,1996-07-22,17.1457142857,295.794285714,27.5142857143,23.9,16.0
1996-07-29/1996-08-04,1996-07-29,17.39,296.03,27.1714285714,23.9,9.0
1996-08-05/1996-08-11,1996-08-05,17.81,296.408571429,27.6714285714,24.4,12.0
1996-08-12/1996-08-18,1996-08-12,17.48,296.078571429,28.0142857143,22.8,13.0
1996-08-19/1996-08-25,1996-08-19,17.5228571429,296.128571429,26.7857142857,22.8,27.0
1996-08-26/1996-09-01,1996-08-26,17.4228571429,295.985714286,27.7571428571,23.9,21.0
1996-09-02/1996-09-08,1996-09-02,18.4857142857,296.911428571,28.4857142857,23.3,19.0
1996-09-09/1996-09-15,1996-09-09,17.97,296.452857143,27.9428571429,23.3,17.0
1996-09-16/1996-09-22,1996-09-16,18.4071428571,296.88,27.0428571429,22.8,24.0
1996-09-23/1996-09-29,1996-09-23,18.5957142857,297.092857143,27.8714285714,23.9,27.0
1996-09-30/1996-10-06,1996-09-30,17.5214285714,296.09,27.4142857143,23.9,30.0
1996-10-07/1996-10-13,1996-10-07,17.9414285714,296.46,27.2857142857,23.3,29.0
1996-10-14/1996-10-20,1996-10-14,17.4857142857,296.048571429,27.5714285714,23.3,25.0
1996-10-21/1996-10-27,1996-10-21,18.23,296.717142857,29.0428571429,24.4,35.0
1996-10-28/1996-11-03,1996-10-28,17.1442857143,295.72,27.0428571429,21.7,33.0
1996-11-04/1996-11-10,1996-11-04,17.7014285714,296.26,26.8428571429,22.2,30.0
1996-11-11/1996-11-17,1996-11-11,16.6771428571,295.265714286,26.1571428571,22.2,29.0
1996-11-18/1996-11-24,1996-11-18,16.8428571429,295.438571429,25.8714285714,22.2,31.0
1996-11-25/1996-12-01,1996-11-25,17.1285714286,295.667142857,25.6142857143,22.8,29.0
1996-12-02/1996-12-08,1996-12-02,14.4585714286,292.941428571,25.0142857143,21.7,22.0
1996-12-09/1996-12-15,1996-12-09,14.2457142857,292.662857143,24.8,20.6,27.0
1996-12-16/1996-12-22,1996-12-16,14.3328571429,292.787142857,24.9571428571,21.1,24.0
1996-12-23/1996-12-29,1996-12-23,13.1528571429,291.424285714,24.5142857143,19.4,26.0
1996-12-30/1997-01-05,1997-01-01,16.3771428571,295.014285714,26.6285714286,21.7,29.0
1997-01-06/1997-01-12,1997-01-08,14.9671428571,293.558571429,24.6714285714,21.1,22.0
1997-01-13/1997-01-19,1997-01-15,14.2785714286,292.797142857,24.3857142857,19.4,33.0
1997-01-20/1997-01-26,1997-01-22,15.1742857143,293.787142857,24.9,21.1,24.0
1997-01-27/1997-02-02,1997-01-29,14.8985714286,293.532857143,24.6285714286,21.1,30.0
1997-02-03/1997-02-09,1997-02-05,14.0585714286,292.575714286,23.7,19.4,20.0
1997-02-10/1997-02-16,1997-02-12,15.0171428571,293.637142857,24.5714285714,21.1,17.0
1997-02-17/1997-02-23,1997-02-19,14.6142857143,293.221428571,24.6857142857,21.1,24.0
1997-02-24/1997-03-02,1997-02-26,13.9314285714,292.472857143,24.4714285714,21.1,28.0
1997-03-03/1997-03-09,1997-03-05,13.8857142857,292.41,24.5714285714,21.1,18.0
1997-03-10/1997-03-16,1997-03-12,13.9771428571,292.495714286,24.3571428571,21.1,13.0
1997-03-17/1997-03-23,1997-03-19,14.2228571429,292.767142857,24.7428571429,21.1,9.0
1997-03-24/1997-03-30,1997-03-26,14.2271428571,292.758571429,25.3142857143,20.6,14.0
1997-03-31/1997-04-06,1997-04-02,14.2314285714,292.775714286,25.0857142857,20.6,11.0
1997-04-07/1997-04-13,1997-04-09,13.4928571429,291.842857143,25.3571428571,21.7,11.0
1997-04-14/1997-04-20,1997-04-16,13.35,291.674285714,25.9,20.0,19.0
1997-04-21/1997-04-27,1997-04-23,15.5014285714,294.098571429,27.6714285714,21.1,10.0
1997-04-28/1997-05-04,1997-04-30,16.17,294.82,27.7714285714,22.8,8.0
1997-05-05/1997-05-11,1997-05-07,16.0785714286,294.727142857,27.9285714286,23.3,8.0
1997-05-12/1997-05-18,1997-05-14,16.1442857143,294.798571429,27.5714285714,22.2,9.0
1997-05-19/1997-05-25,1997-05-21,15.9971428571,294.661428571,27.5857142857,23.9,3.0
1997-05-26/1997-06-01,1997-05-28,16.66,295.262857143,27.3142857143,22.8,7.0
1997-06-02/1997-06-08,1997-06-04,17.3685714286,295.978571429,27.2714285714,22.2,14.0
1997-06-09/1997-06-15,1997-06-11,17.62,296.174285714,28.6,23.9,4.0
1997-06-16/1997-06-22,1997-06-18,17.8471428571,296.411428571,29.0142857143,23.9,9.0
1997-06-23/1997-06-29,1997-06-25,17.7328571429,296.322857143,28.6571428571,23.9,14.0
1997-06-30/1997-07-06,1997-07-02,17.6357142857,296.238571429,28.4142857143,24.4,7.0
1997-07-07/1997-07-13,1997-07-09,17.8457142857,296.415714286,29.0142857143,23.9,9.0
1997-07-14/1997-07-20,1997-07-16,17.9485714286,296.511428571,28.6142857143,24.4,3.0
1997-07-21/1997-07-27,1997-07-23,18.0457142857,296.602857143,27.9,23.3,3.0
1997-07-28/1997-08-03,1997-07-30,17.6171428571,296.215714286,27.8285714286,22.8,14.0
1997-08-04/1997-08-10,1997-08-06,18.18,296.735714286,28.6428571429,25.0,12.0
1997-08-11/1997-08-17,1997-08-13,17.9885714286,296.572857143,28.2857142857,23.9,10.0
1997-08-18/1997-08-24,1997-08-20,18.0914285714,296.658571429,28.4142857143,24.4,21.0
1997-08-25/1997-08-31,1997-08-27,18.1828571429,296.704285714,27.9857142857,22.8,26.0
1997-09-01/1997-09-07,1997-09-03,18.3085714286,296.804285714,28.7285714286,25.0,47.0
1997-09-08/1997-09-14,1997-09-10,19.0442857143,297.414285714,28.9571428571,24.4,42.0
1997-09-15/1997-09-21,1997-09-17,18.8285714286,297.247142857,28.9,25.0,31.0
1997-09-22/1997-09-28,1997-09-24,17.8285714286,296.385714286,28.4,23.9,34.0
1997-09-29/1997-10-05,1997-10-01,18.8142857143,297.268571429,27.5857142857,21.7,33.0
1997-10-06/1997-10-12,1997-10-08,18.31,296.787142857,28.5,23.3,52.0
1997-10-13/1997-10-19,1997-10-15,17.9271428571,296.435714286,27.3571428571,22.8,56.0
1997-10-20/1997-10-26,1997-10-22,17.8185714286,296.304285714,27.7,23.9,70.0
1997-10-27/1997-11-02,1997-10-29,17.5514285714,296.101428571,28.3857142857,24.4,112.0
1997-11-03/1997-11-09,1997-11-05,17.0957142857,295.695714286,27.7428571429,23.9,70.0
1997-11-10/1997-11-16,1997-11-12,16.7642857143,295.345714286,27.3428571429,22.8,47.0
1997-11-17/1997-11-23,1997-11-19,17.7385714286,296.312857143,27.3285714286,23.9,48.0
1997-11-24/1997-11-30,1997-11-26,17.7714285714,296.337142857,27.2571428571,23.9,49.0
1997-12-01/1997-12-07,1997-12-03,17.0014285714,295.575714286,26.6714285714,23.3,66.0
1997-12-08/1997-12-14,1997-12-10,16.53,295.152857143,26.7571428571,21.7,56.0
1997-12-15/1997-12-21,1997-12-17,16.1457142857,294.795714286,26.5714285714,22.2,61.0
1997-12-22/1997-12-28,1997-12-24,16.7042857143,295.351428571,26.7142857143,22.2,67.0
1997-12-29/1998-01-04,1998-01-01,16.7042857143,295.351428571,26.7142857143,22.2,64.0
1998-01-05/1998-01-11,1998-01-08,16.3628571429,295.03,26.3571428571,22.8,68.0
1998-01-12/1998-01-18,1998-01-15,16.2085714286,294.852857143,24.8857142857,20.6,49.0
1998-01-19/1998-01-25,1998-01-22,15.8814285714,294.51,25.6142857143,21.1,50.0
1998-01-26/1998-02-01,1998-01-29,15.5614285714,294.19,26.5428571429,22.2,56.0
1998-02-02/1998-02-08,1998-02-05,15.3614285714,293.971428571,26.5857142857,21.1,75.0
1998-02-09/1998-02-15,1998-02-12,17.0885714286,295.628571429,27.2571428571,22.8,63.0
1998-02-16/1998-02-22,1998-02-19,13.5128571429,291.901428571,24.4142857143,20.0,62.0
1998-02-23/1998-03-01,1998-02-26,15.4771428571,294.114285714,26.2714285714,21.1,41.0
1998-03-02/1998-03-08,1998-03-05,14.9357142857,293.5,25.6142857143,21.1,50.0
1998-03-09/1998-03-15,1998-03-12,16.0814285714,294.697142857,25.8142857143,21.1,34.0
1998-03-16/1998-03-22,1998-03-19,14.3671428571,292.907142857,24.8857142857,20.6,31.0
1998-03-23/1998-03-29,1998-03-26,15.48,294.098571429,26.2285714286,22.2,38.0
1998-03-30/1998-04-05,1998-04-02,15.9985714286,294.628571429,25.7142857143,21.7,30.0
1998-04-06/1998-04-12,1998-04-09,15.6357142857,294.215714286,26.0285714286,21.7,32.0
1998-04-13/1998-04-19,1998-04-16,16.4028571429,294.97,26.9285714286,22.2,26.0
1998-04-20/1998-04-26,1998-04-23,15.0142857143,293.542857143,25.6,21.7,30.0
1998-04-27/1998-05-03,1998-04-30,17.2314285714,295.834285714,26.8714285714,22.8,36.0
1998-05-04/1998-05-10,1998-05-07,16.2214285714,294.827142857,26.7857142857,22.2,35.0
1998-05-11/1998-05-17,1998-05-14,16.5028571429,295.11,27.1428571429,22.2,46.0
1998-05-18/1998-05-24,1998-05-21,18.6142857143,297.062857143,27.9142857143,23.3,48.0
1998-05-25/1998-05-31,1998-05-28,18.5114285714,297.02,27.9714285714,24.4,44.0
1998-06-01/1998-06-07,1998-06-04,17.7657142857,296.351428571,27.8571428571,23.9,51.0
1998-06-08/1998-06-14,1998-06-11,18.9914285714,297.451428571,28.4285714286,23.9,59.0
1998-06-15/1998-06-21,1998-06-18,17.8542857143,296.435714286,28.1,23.9,71.0
1998-06-22/1998-06-28,1998-06-25,18.47,296.995714286,28.2142857143,23.9,102.0
1998-06-29/1998-07-05,1998-07-02,18.2785714286,296.847142857,28.6142857143,25.0,128.0
1998-07-06/1998-07-12,1998-07-09,18.3914285714,296.924285714,28.3857142857,22.8,127.0
1998-07-13/1998-07-19,1998-07-16,17.7157142857,296.288571429,28.3857142857,23.9,150.0
1998-07-20/1998-07-26,1998-07-23,17.9457142857,296.502857143,27.5571428571,23.9,191.0
1998-07-27/1998-08-02,1998-07-30,18.5471428571,297.038571429,28.2714285714,23.9,256.0
1998-08-03/1998-08-09,1998-08-06,18.6314285714,297.127142857,28.4571428571,24.4,329.0
1998-08-10/1998-08-16,1998-08-13,19.0157142857,297.457142857,29.0714285714,24.4,263.0
1998-08-17/1998-08-23,1998-08-20,19.01,297.467142857,29.2142857143,25.0,220.0
1998-08-24/1998-08-30,1998-08-27,19.0271428571,297.401428571,28.0428571429,23.3,204.0
1998-08-31/1998-09-06,1998-09-03,18.9085714286,297.328571429,28.7571428571,22.8,181.0
1998-09-07/1998-09-13,1998-09-10,18.7242857143,297.16,28.3285714286,24.4,99.0
1998-09-14/1998-09-20,1998-09-17,18.8471428571,297.275714286,28.7285714286,24.4,54.0
1998-09-21/1998-09-27,1998-09-24,18.5814285714,297.06,27.7714285714,24.4,80.0
1998-09-28/1998-10-04,1998-10-01,18.0614285714,296.538571429,27.9142857143,23.9,102.0
1998-10-05/1998-10-11,1998-10-08,18.4185714286,296.921428571,28.2571428571,24.4,127.0
1998-10-12/1998-10-18,1998-10-15,18.0914285714,296.612857143,27.7571428571,23.3,73.0
1998-10-19/1998-10-25,1998-10-22,18.41,296.9,28.1571428571,23.9,68.0
1998-10-26/1998-11-01,1998-10-29,18.3757142857,296.867142857,27.7142857143,23.3,64.0
1998-11-02/1998-11-08,1998-11-05,18.4842857143,296.942857143,27.4285714286,23.3,55.0
1998-11-09/1998-11-15,1998-11-12,17.8685714286,296.42,27.7857142857,23.3,67.0
1998-11-16/1998-11-22,1998-11-19,17.6271428571,296.182857143,26.7285714286,23.3,84.0
1998-11-23/1998-11-29,1998-11-26,16.8671428571,295.492857143,26.5571428571,22.8,85.0
1998-11-30/1998-12-06,1998-12-03,16.5871428571,295.172857143,25.6428571429,22.2,67.0
1998-12-07/1998-12-13,1998-12-10,16.9657142857,295.54,25.8142857143,22.8,73.0
1998-12-14/1998-12-20,1998-12-17,16.4085714286,295.032857143,26.0714285714,22.8,89.0
1998-12-21/1998-12-27,1998-12-24,16.5642857143,295.215714286,25.9285714286,22.2,68.0
1998-12-28/1999-01-03,1999-01-01,16.5642857143,295.215714286,25.9285714286,22.2,59.0
1999-01-04/1999-01-10,1999-01-08,16.4528571429,295.097142857,25.5714285714,22.2,56.0
1999-01-11/1999-01-17,1999-01-15,15.4928571429,294.12,25.0714285714,20.0,77.0
1999-01-18/1999-01-24,1999-01-22,15.7685714286,294.408571429,24.9857142857,21.1,75.0
1999-01-25/1999-01-31,1999-01-29,15.0728571429,293.701428571,24.8857142857,21.1,47.0
1999-02-01/1999-02-07,1999-02-05,12.7414285714,290.955714286,24.1714285714,19.4,50.0
1999-02-08/1999-02-14,1999-02-12,12.3657142857,290.552857143,23.4,17.8,42.0
1999-02-15/1999-02-21,1999-02-19,14.2257142857,292.73,24.3285714286,19.4,28.0
1999-02-22/1999-02-28,1999-02-26,12.4928571429,290.634285714,24.0428571429,18.9,37.0
1999-03-01/1999-03-07,1999-03-05,14.73,293.311428571,25.0,20.6,37.0
1999-03-08/1999-03-14,1999-03-12,13.9357142857,292.421428571,24.9571428571,20.6,27.0
1999-03-15/1999-03-21,1999-03-19,14.2442857143,292.764285714,24.8857142857,20.6,12.0
1999-03-22/1999-03-28,1999-03-26,14.6714285714,293.23,25.6714285714,21.1,15.0
1999-03-29/1999-04-04,1999-04-02,15.7328571429,294.377142857,25.7428571429,21.7,22.0
1999-04-05/1999-04-11,1999-04-09,14.7457142857,293.272857143,25.6142857143,21.1,8.0
1999-04-12/1999-04-18,1999-04-16,13.9742857143,292.405714286,25.3857142857,21.1,15.0
1999-04-19/1999-04-25,1999-04-23,15.8685714286,294.524285714,26.9142857143,22.8,17.0
1999-04-26/1999-05-02,1999-04-30,15.5614285714,294.201428571,26.6857142857,22.2,10.0
1999-05-03/1999-05-09,1999-05-07,16.7957142857,295.415714286,28.2285714286,22.2,9.0
1999-05-10/1999-05-16,1999-05-14,15.9671428571,294.572857143,26.9571428571,21.7,11.0
1999-05-17/1999-05-23,1999-05-21,16.6514285714,295.268571429,27.8285714286,23.3,20.0
1999-05-24/1999-05-30,1999-05-28,17.6385714286,296.214285714,28.3857142857,24.4,13.0
1999-05-31/1999-06-06,1999-06-04,17.6442857143,296.235714286,28.4142857143,23.9,11.0
1999-06-07/1999-06-13,1999-06-11,17.8542857143,296.43,27.9142857143,22.8,16.0
1999-06-14/1999-06-20,1999-06-18,17.9828571429,296.54,27.7,23.9,11.0
1999-06-21/1999-06-27,1999-06-25,17.8442857143,296.415714286,27.2142857143,22.8,7.0
1999-06-28/1999-07-04,1999-07-02,18.0514285714,296.622857143,28.4428571429,25.0,17.0
1999-07-05/1999-07-11,1999-07-09,17.2957142857,295.92,27.4,22.8,14.0
1999-07-12/1999-07-18,1999-07-16,17.8042857143,296.394285714,27.2714285714,23.3,13.0
1999-07-19/1999-07-25,1999-07-23,18.3228571429,296.861428571,26.7,21.7,15.0
1999-07-26/1999-08-01,1999-07-30,17.9028571429,296.474285714,28.1,23.9,30.0
1999-08-02/1999-08-08,1999-08-06,18.5571428571,297.047142857,28.3714285714,22.8,25.0
1999-08-09/1999-08-15,1999-08-13,18.2128571429,296.742857143,28.0857142857,23.9,40.0
1999-08-16/1999-08-22,1999-08-20,18.3328571429,296.857142857,28.3714285714,25.0,44.0
1999-08-23/1999-08-29,1999-08-27,18.36,296.86,27.8571428571,23.9,25.0
1999-08-30/1999-09-05,1999-09-03,18.41,296.895714286,28.1857142857,23.9,21.0
1999-09-06/1999-09-12,1999-09-10,18.31,296.801428571,28.3,25.0,48.0
1999-09-13/1999-09-19,1999-09-17,18.71,297.084285714,28.4142857143,24.4,56.0
1999-09-20/1999-09-26,1999-09-24,18.2142857143,296.701428571,28.4571428571,24.4,60.0
1999-09-27/1999-10-03,1999-10-01,18.3457142857,296.824285714,28.7142857143,23.9,45.0
1999-10-04/1999-10-10,1999-10-08,18.12,296.657142857,28.0,23.3,55.0
1999-10-11/1999-10-17,1999-10-15,17.3042857143,295.871428571,27.1714285714,23.3,32.0
1999-10-18/1999-10-24,1999-10-22,18.3157142857,296.82,26.7571428571,23.9,46.0
1999-10-25/1999-10-31,1999-10-29,18.7428571429,297.13,27.6714285714,23.3,61.0
1999-11-01/1999-11-07,1999-11-05,18.0142857143,296.531428571,27.4428571429,23.9,42.0
1999-11-08/1999-11-14,1999-11-12,17.2985714286,295.871428571,26.8857142857,23.9,37.0
1999-11-15/1999-11-21,1999-11-19,17.8171428571,296.33,26.7142857143,22.8,43.0
1999-11-22/1999-11-28,1999-11-26,17.87,296.285714286,26.6,23.3,34.0
1999-11-29/1999-12-05,1999-12-03,16.2071428571,294.775714286,26.1,21.1,40.0
1999-12-06/1999-12-12,1999-12-10,15.4157142857,293.974285714,24.9285714286,21.7,25.0
1999-12-13/1999-12-19,1999-12-17,13.73,292.161428571,24.9428571429,20.6,16.0
1999-12-20/1999-12-26,1999-12-24,14.4371428571,292.964285714,24.8428571429,21.7,17.0
1999-12-27/2000-01-02,2000-01-01,15.2571428571,293.887142857,25.4714285714,21.1,17.0
2000-01-03/2000-01-09,2000-01-08,15.7228571429,294.355714286,25.1285714286,21.7,16.0
2000-01-10/2000-01-16,2000-01-15,14.6128571429,293.191428571,25.1142857143,21.7,23.0
2000-01-17/2000-01-23,2000-01-22,12.61,290.852857143,23.6142857143,20.0,18.0
2000-01-24/2000-01-30,2000-01-29,11.9642857143,289.827142857,22.8428571429,17.8,18.0
2000-01-31/2000-02-06,2000-02-05,14.2128571429,292.734285714,25.1714285714,20.6,9.0
2000-02-07/2000-02-13,2000-02-12,14.6528571429,293.27,24.9285714286,20.6,7.0
2000-02-14/2000-02-20,2000-02-19,14.6185714286,293.25,25.2,21.1,7.0
2000-02-21/2000-02-27,2000-02-26,13.67,292.174285714,24.7714285714,20.6,4.0
2000-02-28/2000-03-05,2000-03-04,13.5871428571,291.952857143,24.5285714286,20.0,3.0
2000-03-06/2000-03-12,2000-03-11,11.7157142857,289.642857143,24.0,19.4,2.0
2000-03-13/2000-03-19,2000-03-18,12.7385714286,290.998571429,25.0714285714,21.1,8.0
2000-03-20/2000-03-26,2000-03-25,12.93,291.225714286,24.8,19.4,3.0
2000-03-27/2000-04-02,2000-04-01,12.6371428571,290.81,24.4,20.0,1.0
2000-04-03/2000-04-09,2000-04-08,15.0585714286,293.632857143,25.5857142857,21.7,1.0
2000-04-10/2000-04-16,2000-04-15,14.65,293.187142857,25.9714285714,20.6,2.0
2000-04-17/2000-04-23,2000-04-22,14.2714285714,292.83,25.8,20.6,3.0
2000-04-24/2000-04-30,2000-04-29,15.6228571429,294.254285714,26.9285714286,22.2,3.0
2000-05-01/2000-05-07,2000-05-06,15.48,294.138571429,27.1428571429,21.7,2.0
2000-05-08/2000-05-14,2000-05-13,15.6385714286,294.264285714,26.6428571429,22.2,0.0
2000-05-15/2000-05-21,2000-05-20,15.9185714286,294.554285714,26.6,21.1,0.0
2000-05-22/2000-05-28,2000-05-27,16.2371428571,294.865714286,26.8142857143,22.8,2.0
2000-05-29/2000-06-04,2000-06-03,16.5871428571,295.227142857,27.5571428571,23.3,2.0
2000-06-05/2000-06-11,2000-06-10,17.0342857143,295.667142857,27.8571428571,23.3,0.0
2000-06-12/2000-06-18,2000-06-17,16.4542857143,295.135714286,27.9857142857,23.3,6.0
2000-06-19/2000-06-25,2000-06-24,17.2885714286,295.94,27.4285714286,23.9,3.0
2000-06-26/2000-07-02,2000-07-01,16.7057142857,295.367142857,27.7714285714,23.3,6.0
2000-07-03/2000-07-09,2000-07-08,17.2385714286,295.871428571,27.9714285714,24.4,2.0
2000-07-10/2000-07-16,2000-07-15,17.2457142857,295.875714286,28.2714285714,24.4,3.0
2000-07-17/2000-07-23,2000-07-22,17.4628571429,296.078571429,28.5285714286,23.3,2.0
2000-07-24/2000-07-30,2000-07-29,17.3328571429,295.961428571,28.3285714286,23.9,4.0
2000-07-31/2000-08-06,2000-08-05,17.8457142857,296.411428571,28.2142857143,22.8,5.0
2000-08-07/2000-08-13,2000-08-12,18.0042857143,296.564285714,28.2714285714,22.8,2.0
2000-08-14/2000-08-20,2000-08-19,18.0671428571,296.635714286,28.6142857143,23.9,9.0
2000-08-21/2000-08-27,2000-08-26,18.0385714286,296.598571429,28.7285714286,23.9,2.0
2000-08-28/2000-09-03,2000-09-02,18.2314285714,296.735714286,27.1857142857,21.7,4.0
2000-09-04/2000-09-10,2000-09-09,18.4042857143,296.891428571,27.9857142857,23.9,8.0
2000-09-11/2000-09-17,2000-09-16,18.3142857143,296.811428571,28.1857142857,22.8,6.0
2000-09-18/2000-09-24,2000-09-23,18.1628571429,296.684285714,27.7571428571,23.9,3.0
2000-09-25/2000-10-01,2000-09-30,18.0857142857,296.597142857,27.5285714286,23.9,11.0
2000-10-02/2000-10-08,2000-10-07,18.4914285714,296.974285714,27.7714285714,23.9,14.0
2000-10-09/2000-10-15,2000-10-14,17.1314285714,295.737142857,27.8,23.3,15.0
2000-10-16/2000-10-22,2000-10-21,17.7042857143,296.267142857,28.0571428571,23.9,20.0
2000-10-23/2000-10-29,2000-10-28,17.1171428571,295.725714286,27.1428571429,23.3,9.0
2000-10-30/2000-11-05,2000-11-04,17.9942857143,296.5,27.5428571429,23.3,20.0
2000-11-06/2000-11-12,2000-11-11,15.2585714286,293.638571429,25.8714285714,21.7,28.0
2000-11-13/2000-11-19,2000-11-18,14.9914285714,293.448571429,26.3285714286,22.2,38.0
2000-11-20/2000-11-26,2000-11-25,16.0371428571,294.66,26.8714285714,22.8,30.0
2000-11-27/2000-12-03,2000-12-02,16.7542857143,295.388571429,26.3,22.8,30.0
2000-12-04/2000-12-10,2000-12-09,16.7714285714,295.402857143,26.8142857143,22.8,23.0
2000-12-11/2000-12-17,2000-12-16,15.2528571429,293.881428571,25.9142857143,21.7,16.0
2000-12-18/2000-12-24,2000-12-23,15.4628571429,294.132857143,25.3857142857,21.7,22.0
2000-12-25/2000-12-31,2000-12-23,15.4628571429,294.132857143,25.3857142857,21.7,22.0
2001-01-01/2001-01-07,2001-01-01,15.4442857143,294.034285714,25.1285714286,20.6,28.0
2001-01-08/2001-01-14,2001-01-08,15.0785714286,293.687142857,25.3142857143,21.1,14.0
2001-01-15/2001-01-21,2001-01-15,13.9214285714,292.405714286,25.0714285714,19.4,17.0
2001-01-22/2001-01-28,2001-01-22,14.7328571429,293.358571429,24.9571428571,20.6,20.0
2001-01-29/2001-02-04,2001-01-29,15.3785714286,294.052857143,25.2428571429,21.1,17.0
2001-02-05/2001-02-11,2001-02-05,14.4085714286,292.981428571,25.0,21.1,10.0
2001-02-12/2001-02-18,2001-02-12,14.7542857143,293.377142857,25.3428571429,21.1,13.0
2001-02-19/2001-02-25,2001-02-19,14.0985714286,292.668571429,24.7571428571,19.4,20.0
2001-02-26/2001-03-04,2001-02-26,14.2657142857,292.815714286,24.8142857143,21.7,9.0
2001-03-05/2001-03-11,2001-03-05,13.6714285714,292.055714286,24.7,19.4,18.0
2001-03-12/2001-03-18,2001-03-12,15.3871428571,294.027142857,26.7,22.2,9.0
2001-03-19/2001-03-25,2001-03-19,14.4828571429,293.045714286,26.3285714286,21.7,8.0
2001-03-26/2001-04-01,2001-03-26,15.5557142857,294.167142857,26.0428571429,21.7,19.0
2001-04-02/2001-04-08,2001-04-02,15.3357142857,293.982857143,27.0857142857,22.2,11.0
2001-04-09/2001-04-15,2001-04-09,15.1528571429,293.785714286,26.2714285714,21.7,4.0
2001-04-16/2001-04-22,2001-04-16,14.4171428571,292.982857143,26.7,22.2,6.0
2001-04-23/2001-04-29,2001-04-23,15.63,294.281428571,27.2,22.8,6.0
2001-04-30/2001-05-06,2001-04-30,15.0614285714,293.68,26.7571428571,22.2,8.0
2001-05-07/2001-05-13,2001-05-07,16.7714285714,295.365714286,27.4857142857,22.8,13.0
2001-05-14/2001-05-20,2001-05-14,17.2685714286,295.855714286,27.8571428571,24.4,8.0
2001-05-21/2001-05-27,2001-05-21,16.73,295.345714286,28.8285714286,23.3,8.0
2001-05-28/2001-06-03,2001-05-28,16.9957142857,295.641428571,28.4714285714,25.0,5.0
